Tanggal Transaksi;Produk;Jumlah;Total Harga;Pembayaran;Harga Satuan;Harga Total Terkalkulasi
2024-03-10;Besi A;1;60000;Kartu;50000;50000
2024-03-11;Besi B;1;50000;Transfer;40000;40000
2024-03-12;Besi C;1;40000;Kartu;70000;70000
2024-03-13;Besi B;4;180000;Transfer;40000;160000
2024-03-14;Besi A;20;1003000;Kartu;50000;1000000
2024-03-15;Besi C;30;2000000;Kartu;70000;2100000
2024-03-16;Besi A;33;1670000;Transfer;50000;1650000
2024-03-17;Besi B;10;400200;Transfer;40000;400000
2024-03-18;Besi A;45;2340000;Kartu;50000;2250000
2024-03-19;Besi C;21;1490000;Transfer;70000;1470000
2024-03-20;Besi C;12;850000;Kartu;70000;840000
2024-03-21;Besi A;19;910000;Kartu;50000;950000
2024-03-22;Besi B;20;840000;Transfer;40000;800000
